year,month,views,likes,dislikes,comment_count,category_id
2009,10,262528,3109,13,147,10
2010,1,169526,1080,21,145,10
2010,3,17737,67,9,9,25
2012,7,45873,271,28,0,22
2013,7,25661,35,9,26,24
2013,12,85647,275,147,70,10
2014,9,57510,200,12,14,10
2014,3,705557,19790,555,5908,27
2015,3,75596,1583,182,97,22
2015,11,32718,318,5,5,10
2016,10,3786,1,0,0,22
2016,12,12217,48,11,7,24
2017,2,219758,2120,681,0,17
2017,3,2587,103,2,6,22
2017,4,56967,80,18,2,22
2017,5,4457,157,1,25,22
2017,3,32361,113,234,194,19
2017,7,11904,13,18,4,10
2017,8,22420,162,31,17,22
2017,9,8252,26,5,8,10
2017,10,20100,87,7,2,10
2017,11,282296,18381,274,5265,26
2017,12,14197878,768290,13156,41315,10
